X,Y,Z,Speed,E,Mode,NozzleTemp
-0.566,2.555,0.000,10.000,0.10469,1,50.0
-0.787,2.496,0.000,10.000,0.10469,1,50.0
-1.002,2.418,0.000,10.000,0.10469,1,50.0
-1.208,2.321,0.000,10.000,0.10469,1,50.0
-1.406,2.207,0.000,10.000,0.10469,1,50.0
-1.593,2.076,0.000,10.000,0.10469,1,50.0
-1.768,1.930,0.000,10.000,0.10469,1,50.0
-1.930,1.768,0.000,10.000,0.10469,1,50.0
-2.076,1.593,0.000,10.000,0.10469,1,50.0
-2.207,1.406,0.000,10.000,0.10469,1,50.0
-2.321,1.208,0.000,10.000,0.10469,1,50.0
-2.418,1.002,0.000,10.000,0.10469,1,50.0
-2.496,0.787,0.000,10.000,0.10469,1,50.0
-2.555,0.566,0.000,10.000,0.10469,1,50.0
-2.595,0.342,0.000,10.000,0.10469,1,50.0
-2.615,0.114,0.000,10.000,0.10469,1,50.0
-2.615,-0.114,0.000,10.000,0.10469,1,50.0
-2.595,-0.342,0.000,10.000,0.10469,1,50.0
-2.555,-0.566,0.000,10.000,0.10469,1,50.0
-2.496,-0.787,0.000,10.000,0.10469,1,50.0
-2.418,-1.002,0.000,10.000,0.10469,1,50.0
-2.321,-1.208,0.000,10.000,0.10469,1,50.0
-2.207,-1.406,0.000,10.000,0.10469,1,50.0
-2.076,-1.593,0.000,10.000,0.10469,1,50.0
-1.930,-1.768,0.000,10.000,0.10469,1,50.0
-1.768,-1.930,0.000,10.000,0.10469,1,50.0
-1.593,-2.076,0.000,10.000,0.10469,1,50.0
-1.406,-2.207,0.000,10.000,0.10469,1,50.0
-1.208,-2.321,0.000,10.000,0.10469,1,50.0
-1.002,-2.418,0.000,10.000,0.10469,1,50.0
-0.787,-2.496,0.000,10.000,0.10469,1,50.0
-0.566,-2.555,0.000,10.000,0.10469,1,50.0
-0.342,-2.595,0.000,10.000,0.10469,1,50.0
-0.114,-2.615,0.000,10.000,0.10469,1,50.0
0.114,-2.615,0.000,10.000,0.10469,1,50.0
0.342,-2.595,0.000,10.000,0.10469,1,50.0
0.566,-2.555,0.000,10.000,0.10469,1,50.0
0.787,-2.496,0.000,10.000,0.10469,1,50.0
1.002,-2.418,0.000,10.000,0.10469,1,50.0
1.208,-2.321,0.000,10.000,0.10469,1,50.0
1.406,-2.207,0.000,10.000,0.10469,1,50.0
1.593,-2.076,0.000,10.000,0.10469,1,50.0
1.768,-1.930,0.000,10.000,0.10469,1,50.0
1.930,-1.768,0.000,10.000,0.10469,1,50.0
2.076,-1.593,0.000,10.000,0.10469,1,50.0
2.207,-1.406,0.000,10.000,0.10469,1,50.0
2.321,-1.208,0.000,10.000,0.10469,1,50.0
2.418,-1.002,0.000,10.000,0.10469,1,50.0
2.496,-0.787,0.000,10.000,0.10469,1,50.0
2.555,-0.566,0.000,10.000,0.10469,1,50.0
2.595,-0.342,0.000,10.000,0.10469,1,50.0
2.615,-0.114,0.000,10.000,0.10469,1,50.0
0.000,0.000,3.000,20.000,0.00000,1,50.0
2.615,0.114,0.000,10.000,0.10469,1,50.0
2.595,0.342,0.000,10.000,0.10469,1,50.0
2.555,0.566,0.000,10.000,0.10469,1,50.0
2.496,0.787,0.000,10.000,0.10469,1,50.0
2.418,1.002,0.000,10.000,0.10469,1,50.0
2.321,1.208,0.000,10.000,0.10469,1,50.0
2.207,1.406,0.000,10.000,0.10469,1,50.0
2.076,1.593,0.000,10.000,0.10469,1,50.0
1.930,1.768,0.000,10.000,0.10469,1,50.0
1.768,1.930,0.000,10.000,0.10469,1,50.0
1.593,2.076,0.000,10.000,0.10469,1,50.0
1.406,2.207,0.000,10.000,0.10469,1,50.0
1.208,2.321,0.000,10.000,0.10469,1,50.0
1.002,2.418,0.000,10.000,0.10469,1,50.0
0.787,2.496,0.000,10.000,0.10469,1,50.0
0.566,2.555,0.000,10.000,0.10469,1,50.0
0.342,2.595,0.000,10.000,0.10469,1,50.0
0.114,2.615,0.000,10.000,0.10469,1,50.0
-0.114,2.615,0.000,10.000,0.10469,1,50.0
-0.342,2.595,0.000,10.000,0.10469,1,50.0
-0.566,2.555,0.000,10.000,0.10469,1,50.0
-0.787,2.496,0.000,10.000,0.10469,1,50.0
-1.002,2.418,0.000,10.000,0.10469,1,50.0
-1.208,2.321,0.000,10.000,0.10469,1,50.0
-1.406,2.207,0.000,10.000,0.10469,1,50.0
-1.593,2.076,0.000,10.000,0.10469,1,50.0
-1.768,1.930,0.000,10.000,0.10469,1,50.0
-1.930,1.768,0.000,10.000,0.10469,1,50.0
-2.076,1.593,0.000,10.000,0.10469,1,50.0
-2.207,1.406,0.000,10.000,0.10469,1,50.0
-2.321,1.208,0.000,10.000,0.10469,1,50.0
-2.418,1.002,0.000,10.000,0.10469,1,50.0
-2.496,0.787,0.000,10.000,0.10469,1,50.0
-2.555,0.566,0.000,10.000,0.10469,1,50.0
-2.595,0.342,0.000,10.000,0.10469,1,50.0
-2.615,0.114,0.000,10.000,0.10469,1,50.0
-2.615,-0.114,0.000,10.000,0.10469,1,50.0
-2.595,-0.342,0.000,10.000,0.10469,1,50.0
-2.555,-0.566,0.000,10.000,0.10469,1,50.0
-2.496,-0.787,0.000,10.000,0.10469,1,50.0
-2.418,-1.002,0.000,10.000,0.10469,1,50.0
-2.321,-1.208,0.000,10.000,0.10469,1,50.0
-2.207,-1.406,0.000,10.000,0.10469,1,50.0
-2.076,-1.593,0.000,10.000,0.10469,1,50.0
-1.930,-1.768,0.000,10.000,0.10469,1,50.0
-1.768,-1.930,0.000,10.000,0.10469,1,50.0
-1.593,-2.076,0.000,10.000,0.10469,1,50.0
-1.406,-2.207,0.000,10.000,0.10469,1,50.0
-1.208,-2.321,0.000,10.000,0.10469,1,50.0
-1.002,-2.418,0.000,10.000,0.10469,1,50.0
-0.787,-2.496,0.000,10.000,0.10469,1,50.0
-0.566,-2.555,0.000,10.000,0.10469,1,50.0
-0.342,-2.595,0.000,10.000,0.10469,1,50.0
-0.114,-2.615,0.000,10.000,0.10469,1,50.0
0.114,-2.615,0.000,10.000,0.10469,1,50.0
0.342,-2.595,0.000,10.000,0.10469,1,50.0
0.566,-2.555,0.000,10.000,0.10469,1,50.0
0.787,-2.496,0.000,10.000,0.10469,1,50.0
1.002,-2.418,0.000,10.000,0.10469,1,50.0
1.208,-2.321,0.000,10.000,0.10469,1,50.0
1.406,-2.207,0.000,10.000,0.10469,1,50.0
1.593,-2.076,0.000,10.000,0.10469,1,50.0
1.768,-1.930,0.000,10.000,0.10469,1,50.0
1.930,-1.768,0.000,10.000,0.10469,1,50.0
2.076,-1.593,0.000,10.000,0.10469,1,50.0
2.207,-1.406,0.000,10.000,0.10469,1,50.0
2.321,-1.208,0.000,10.000,0.10469,1,50.0
2.418,-1.002,0.000,10.000,0.10469,1,50.0
2.496,-0.787,0.000,10.000,0.10469,1,50.0
2.555,-0.566,0.000,10.000,0.10469,1,50.0
2.595,-0.342,0.000,10.000,0.10469,1,50.0
2.615,-0.114,0.000,10.000,0.10469,1,50.0
0.000,0.000,3.500,20.000,0.00000,1,50.0
0.000,30.000,0.000,20.000,0.00000,1,50.0
210.000,0.000,0.000,20.000,0.00000,0,50.0
